"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:43:27 GMT 2025","Thu Feb 20 13:43:27 GMT 2025","78","","Specializations Position","","api.specialization.SpecializationPositionTests","invalidSpecializationIdFormatTest","[API] [Specializations & Positions] 3081 - 400 СК при неправильном формате Id DELETE /api/v1/positions/{positionId}/specialization/{specializationId}",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:29 GMT 2025","166","","Skill","","api.skill.SkillTests","deleteContentRatingForbidden","[API] [Skill] 3276 - 403 СК при выполнении запроса без необходимых полномочий DELETE /api/v1/skills/reaction",""
"passed","Thu Feb 20 13:43:14 GMT 2025","Thu Feb 20 13:43:14 GMT 2025","84","","Skill","","api.skill.SkillTests","deleteSkillWithoutPermission","[Skills] 2630 - Попытка удаления навыка при авторизации с аккаунтом, у которого нет на это полномочий DELETE /api/v1/skills/{skillId}",""
"broken","Thu Feb 20 13:44:32 GMT 2025","Thu Feb 20 13:44:32 GMT 2025","133","","Skill","","api.skill.SkillTests","deleteSkillWithDeletedStatus","[Skill] 2628 - Попытка удаления навыка, который уже отмечен удаленным DELETE /api/v1/skills/{skillId}",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:29 GMT 2025","137","","Skill Description","","api.skill.SkillDescriptionTests","getSkillDescriptionWithInvalidData","[API] [Skills] 2651 -400 СК при выполнении запроса GET /api/v1/skills/{skillId}/descriptions с невалидными данными в {skillId}",""
"passed","Thu Feb 20 13:43:09 GMT 2025","Thu Feb 20 13:43:09 GMT 2025","340","","Skill Description","","api.skill.SkillDescriptionTests","getSkillDescriptionAndContentBySkillIdInPDP","[API][Skills] 3691 - Параметр isInPdp возвращает true, при наличии скилла в PDP GET/api/v1/skills/{skillId}/descriptions",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","85","","Role","","api.role.RoleTests","createTheRoleWithoutPermissions","[Role] 3462 - 403СК, при отсутствии доступа POST /api/v1/roles",""
"failed","Thu Feb 20 13:44:22 GMT 2025","Thu Feb 20 13:44:22 GMT 2025","128","","Experts","","api.experts.ExpertsTests","createExpertsTheIDOfASkillThatIsNotIncludedInTheExpertsSkillSet","[API][Experts] 3270 - 400СК при отправке айди навыков, не входящих в скиллсет эксперта POST /api/v1/expert/skills",""
"passed","Thu Feb 20 13:43:29 GMT 2025","Thu Feb 20 13:43:29 GMT 2025","116","","Specializations","","api.specialization.SpecializationTests","verifyJsonSchemaForSpecializationsByUserId","[Specializations] 2390 - Ответ от GET /api/v1/specializations/user/{userId} соответствует json-схеме",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","61","","Role","","api.role.RoleTests","getRoleWithPermissionsByNoAuthorized","[Role] 3377 - 401 СК при отсутствии авторизации {roleId} GET /api/v1/roles/{roleId}",""
"passed","Thu Feb 20 13:43:40 GMT 2025","Thu Feb 20 13:43:41 GMT 2025","109","","User","","api.user.UserTests","getUsersByUsersEmployeeUserId","[API] [User] 200 при отправке запроса GET /api/v1/users/employee/{userId} userId = 939c17cf-878b-48e0-85ba-b5675715f7eb, expectedResult = false",""
"failed","Thu Feb 20 13:44:34 GMT 2025","Thu Feb 20 13:44:34 GMT 2025","108","","Skill","","api.skill.SkillTests","returnEmptyListAdminSkillsTreeInTheAbsenceOfSkills","[API] [Skills] 3360 - 200СК с пустым массивом, при отправке специализации без скиллов POST /api/v1/admin/tree/skills",""
