"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 20 13:42:56 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","77","","Permissions","","api.permissions.PermissionsTests","getPermissionsIfUserUnauthorized","[API] [Permissions] 3417 - 401СК, при отсутствии авторизации DELETE /api/v1/permissions",""
"passed","Thu Feb 20 13:42:18 GMT 2025","Thu Feb 20 13:42:18 GMT 2025","94","","Data Controller","","api.dataController.DownloadDataTests","downloadFileFromDBWithFileTypeInLowerCase","[Data-controller] 2797 - 400 СК при указании формата файла в нижнем регистре POST /api/v1/data/download",""
"passed","Thu Feb 20 13:43:08 GMT 2025","Thu Feb 20 13:43:08 GMT 2025","84","","Skill Content","","api.skill.SkillContentTests","deleteContentByIdIncorrect","[API] [SkillContent] 3251 - 400 СК при невалидном {contentId} DELETE /api/v1/content/{contentId}",""
"passed","Thu Feb 20 13:43:14 GMT 2025","Thu Feb 20 13:43:14 GMT 2025","179","","Skill","","api.skill.SkillTests","restoreNonTerminalSkillFromSharedFolderWhenForceTrue","[Skills] 2617 -Восстановление удаленных нетерминальных навыков с одинаковым именем из одной ветки.PUT /api/v1/skills/{skillId}/restore (параметр force=true)",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:55 GMT 2025","77","","Management Position","","api.managementPosition.ManagementPositionTests","updateManagementPositionsByIncorrectId","[API] [ManagementPosition] 400 ошибка при отправке запроса PUT /api/v1/management/{id}",""
"passed","Thu Feb 20 13:42:40 GMT 2025","Thu Feb 20 13:42:40 GMT 2025","69","","Experts","","api.experts.ExpertsTests","getExpertsBySupervisorIdIfUseUnauthorized","[API] [Experts] 3590 - 401 при отсутствии авторизации GET api/v1/experts/{supervisorId}",""
"failed","Thu Feb 20 13:44:26 GMT 2025","Thu Feb 20 13:44:26 GMT 2025","426","","Skill Acquirement","","api.skill.SkillAcquirementTests","getProfileDisplayForSkillByUserId","[SkillAcquirement] 2469 - Получение статуса отображения навыка в профиле пользователя от GET /api/v1/skills/{userId}/{skillId}/profileDisplay",""
"failed","Thu Feb 20 13:44:32 GMT 2025","Thu Feb 20 13:44:32 GMT 2025","126","","Skill","","api.skill.SkillTests","getSkillWithInvalidData","[API][Skills] 3397 - 400 СК при отправке запроса GET/api/v1/skills/{skillId} с не валидными данными",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:29 GMT 2025","114","","Skill","","api.skill.SkillTests","createNewSkill","[Skill] 2495 - Создание нового навыка POST /api/v1/skills",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","123","","Role","","api.role.RoleTests","getRoleWithPermissionsIfRoleIdNotFound","[Role] 3379 - 404 СК при несуществующем {roleId} GET /api/v1/roles/{roleId}",""
"passed","Thu Feb 20 13:42:56 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","143","","Permissions","","api.permissions.PermissionsTests","createNewPermissionIfPermissionNameAlreadyExists","[API] [Permissions] 3416 - 200СК с пустым массивом, при создании пермишена с существующим именем POST /api/v1/permissions",""
"passed","Thu Feb 20 13:43:39 GMT 2025","Thu Feb 20 13:43:40 GMT 2025","917","","User Reminder","","api.user.UserReminderTests","executeRemindingProcess","[UserReminder] 2506 - Получение 204 СК от POST /api/v1/user-reminder/specialization-position",""
"passed","Thu Feb 20 13:43:16 GMT 2025","Thu Feb 20 13:43:16 GMT 2025","140","","Skill","","api.skill.SkillTests","restoreNonTerminalSkillFromDifferentFoldersWhenForceFalse","[Skills] 2602 - Восстановление удаленных нетерминальных навыков с одинаковым именем из разных веток PUT /api/v1/skills/{skillId}/restore",""
"passed","Thu Feb 20 13:42:23 GMT 2025","Thu Feb 20 13:42:29 GMT 2025","6158","","Data Controller","","api.dataController.DownloadDataTests","downloadFileFromBDInCSVFormat","[Data-controller] 2795, 2796 - Выгрузка файла БД POST /api/v1/data/download 2 => format=XLS, extension=.xls, message=xls",""
"passed","Thu Feb 20 13:43:33 GMT 2025","Thu Feb 20 13:43:34 GMT 2025","71","","Specializations","","api.specialization.SpecializationTests","deleteSpecializationsByIdNoValidSpecializationId","[API][Specialization] 3583 - 400 СК при запросе DELETE /api/v1/specializations/{specializationId} с не валидным значением specializationId",""
"passed","Thu Feb 20 13:42:54 GMT 2025","Thu Feb 20 13:42:54 GMT 2025","72","","Location","","api.locations.LocationsTests","verifyJsonSchemaForLocations","[Location] 2387 - Ответ от /api/v1/locations соответствует json-схеме",""
"passed","Thu Feb 20 13:43:10 GMT 2025","Thu Feb 20 13:43:10 GMT 2025","176","","Skill Description","","api.skill.SkillDescriptionTests","verifyJsonSchemaForDescription","[SkillDescription] 993 - Ответ от GET /skills/{skillId}/descriptions соответствует json-схеме",""
"failed","Thu Feb 20 13:44:24 GMT 2025","Thu Feb 20 13:44:24 GMT 2025","173","","Non Terminal Skill Details","","api.skill.NonTerminalSkillDetailsTests","createOrUpdateNonTerminalSkillDetails","[NonTerminalSkillDetails] 2505 - Создание/обновление данных о неконечных навыках PUT /api/v1/skill-details",""
"skipped","Thu Feb 20 13:43:35 GMT 2025","Thu Feb 20 13:43:35 GMT 2025","0","","Specializations","","api.specialization.SpecializationTests","createNewSpecializationMotFound","[API][Specialization] 3577 - 400 СК при запросе PATCH /api/v1/specializations",""
"broken","Thu Feb 20 13:44:12 GMT 2025","Thu Feb 20 13:44:13 GMT 2025","247","","Access","","api.access.AccessTests","verifyJsonSchemaForAuthRequest","[Access] 991 - Ответ от /authenticate соответствует json-схеме",""
"skipped","Thu Feb 20 13:43:14 GMT 2025","Thu Feb 20 13:43:14 GMT 2025","0","","Skill","","api.skill.SkillTests","restoreTerminalSkillWhenForceFalse","[Skills] 2601 - 500 ответ при восстановлении удаленного терминального навыка с существующим именем в одной ветке.PUT /api/v1/skills/{skillId}/restore",""
"failed","Thu Feb 20 13:44:38 GMT 2025","Thu Feb 20 13:44:38 GMT 2025","80","","Specializations","","api.specialization.SpecializationTests","verifyJsonSchemaForUsersBySpecialization","[Specializations] 2394 - Ответ от GET /api/v1/specializations/{specializationId}/users соответствует json-схеме",""
"passed","Thu Feb 20 13:43:29 GMT 2025","Thu Feb 20 13:43:29 GMT 2025","59","","Specializations","","api.specialization.SpecializationTests","specializationsByUserIdWithoutAuthorization","[Specializations] 3541 - 401 СК в запросе GET /api/v1/specializations/user/{userId}",""
"skipped","Thu Feb 20 13:43:19 GMT 2025","Thu Feb 20 13:43:19 GMT 2025","0","","Skill","","api.skill.SkillTests","restoreTerminalSkillWithDifferentParentWhenForceFalse","[Skills] 2620 - 500 СК при попытке восстановления удаленного терминального навыка, если уже существует терминальный навык с таким же именем в любой ветке.PUT /api/v1/skills/{skillId}/restore (Если параметр force=false)",""
"passed","Thu Feb 20 13:43:38 GMT 2025","Thu Feb 20 13:43:39 GMT 2025","156","","Supervisor","","api.supervisor.SupervisorTests","getSpecializationsForSupervisor","[Supervisor] 2516 - Получение всех специализации для руководителя GET /api/v1/supervisors/{userId}/specializations",""
"passed","Thu Feb 20 13:43:14 GMT 2025","Thu Feb 20 13:43:14 GMT 2025","100","","Skill","","api.skill.SkillTests","impossibleToDeleteNotDeletedSkill","[Skills] 2703 - Попытка удаления из БД навыка, который не отмечен удаленным DELETE api/v1/admin/skills/deleted/{skillId}",""
"passed","Thu Feb 20 13:43:45 GMT 2025","Thu Feb 20 13:43:45 GMT 2025","58","","User","","api.user.UserTests","addsRemovesUserPermissionsWithoutAuthorization","[User] 401 ошибка при отправке запроса PUT /api/v1/users/{userId}/permissions",""
"failed","Thu Feb 20 13:44:24 GMT 2025","Thu Feb 20 13:44:24 GMT 2025","205","","History Skill Changes","","api.skill.HistorySkillChangesTests","notFoundHistoryWhenSendingARequestWithASkillIdThatIsMissing","[API][HistoryOfSkillChanges] 3189 - 404 при отправке запроса с skillId, который отсутствует в БД GET /api/v1/skills/changeHistory/{skillId}/{userId}",""
"passed","Thu Feb 20 13:43:16 GMT 2025","Thu Feb 20 13:43:16 GMT 2025","117","","Skill","","api.skill.SkillTests","getDeletedSkillDescription","[Skills] 2649 - Получение описания навыка, который отмечен удаленным в БД GET /api/v1/skills/{skillId}/deleted/descriptions",""
"passed","Thu Feb 20 13:43:16 GMT 2025","Thu Feb 20 13:43:16 GMT 2025","78","","Skill","","api.skill.SkillTests","sendingTheRequestBodyWithoutRequiredFields","[API] [Skills] 3582 - 400СК, при отправке тела запроса без обязательных полей POST api/v1/admin/tree/skills",""
"passed","Thu Feb 20 13:43:26 GMT 2025","Thu Feb 20 13:43:26 GMT 2025","68","","Position","","api.specialization.PositionTests","sendingARequestWithoutAuthorization","[Positions] 2842 - 401 СК при отсутствии авторизации PUT api/v1/positions/{positionId}",""
"passed","Thu Feb 20 13:43:21 GMT 2025","Thu Feb 20 13:43:21 GMT 2025","94","","Skill","","api.skill.SkillTests","saveSkillOrderWithoutPermission","[API][Skils][Skills order] 2954 - 403СК при авторизации с недопустимым пермишеном POST api/v1/skills/order",""
"passed","Thu Feb 20 13:43:16 GMT 2025","Thu Feb 20 13:43:16 GMT 2025","59","","Skill","","api.skill.SkillTests","reactionWithoutAuthorization","[Skill] 3265 - 401 при отсутствии авторизации POST /api/v1/skills/reaction",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","84","","Role","","api.role.RoleTests","updateTheRoleWithoutAuthorization","[Role] 3425 - 401СК, при отсутствии авторизации PUT /api/v1/roles",""
"failed","Thu Feb 20 13:44:32 GMT 2025","Thu Feb 20 13:44:33 GMT 2025","1161","","Skill","","api.skill.SkillTests","verifyRequestWithoutSearch","[Skill] 996 - Дерево не раскрыто если ""search"" пустой для /api/v1/skills/tree",""
"passed","Thu Feb 20 13:43:12 GMT 2025","Thu Feb 20 13:43:12 GMT 2025","89","","Skill","","api.skill.SkillTests","changeSkillWithInvalidSkillId","[Skill] 3501 - 400СК при отправке невалидного skillId PUT api/v1/skills/{skillId}",""
"failed","Thu Feb 20 13:44:20 GMT 2025","Thu Feb 20 13:44:20 GMT 2025","108","","Experts","","api.experts.ExpertsTests","getExpertWithInvalidUserId","[Experts] 3423 - 400 СК при отправке запроса с невалидным {userId} GET /api/v1/expert",""
"passed","Thu Feb 20 13:43:09 GMT 2025","Thu Feb 20 13:43:09 GMT 2025","83","","Skill Description","","api.skill.SkillDescriptionTests","getDescriptionForSkillIdThatIsString","[SkillDescription] 2450 - Запрос GET /skills/{skillId}/descriptions с несуществующим ID возвращает СК 400",""
"passed","Thu Feb 20 13:42:41 GMT 2025","Thu Feb 20 13:42:41 GMT 2025","84","","Experts","","api.experts.ExpertsTests","getExpertSkillsWithNonExistentUserId","[Experts] 3485 - 404 СК при несуществующем userId GET /api/v1/expert/{userId}/skills",""
"passed","Thu Feb 20 13:43:33 GMT 2025","Thu Feb 20 13:43:33 GMT 2025","55","","Specializations","","api.specialization.SpecializationTests","updateNewSpecializationUsersUnauthorized","[API][Specialization] 3579 - 401 СК при запросе PATCH /api/v1/specializations",""
"passed","Thu Feb 20 13:43:37 GMT 2025","Thu Feb 20 13:43:38 GMT 2025","579","","Subordinates","","api.subordinates.SubordinatesTests","getSubordinatesBySupervisorId","[Subordinates] 2410 - Проверка получения подчиненных по ID руководителя GET /api/v1/admin/subordinates?supervisorId={supervisorId}",""
"passed","Thu Feb 20 13:43:10 GMT 2025","Thu Feb 20 13:43:10 GMT 2025","132","","Skill Progress","","api.skill.SkillProgressTests","deleteSkillInProgress","[SkillProgress] 2504 - Удаление навыка из прогресса DELETE /api/v1/skills/grade/",""
"broken","Thu Feb 20 13:44:24 GMT 2025","Thu Feb 20 13:44:25 GMT 2025","130","","Skill Acquirement","","api.skill.SkillAcquirementTests","deleteSkillFormSkillAcquirement","[SkillAcquirement] 2490 - Удаление навыка из приобретённых навыков DELETE /api/v1/skills/{userId}/{skillId}",""
"skipped","Thu Feb 20 13:43:13 GMT 2025","Thu Feb 20 13:43:13 GMT 2025","0","","Skill","","api.skill.SkillTests","restoreNonTerminalSkillFromSharedFolderWhenForceFalse","[Skills] 2616 - 500 СК при восстановлении удаленного нетерминального навыка с существующим именем, когда навыки принадлежат одной ветке.PUT /api/v1/skills/{skillId}/restore (параметр force=false)",""
"passed","Thu Feb 20 13:42:45 GMT 2025","Thu Feb 20 13:42:45 GMT 2025","127","","Experts","","api.experts.ExpertsTests","deleteExpertFromSkills","[Experts] 2485 - Удаление эксперта из навыка DELETE /api/v1/expert/skills",""
"passed","Thu Feb 20 13:42:13 GMT 2025","Thu Feb 20 13:42:15 GMT 2025","1873","","Audit","","api.audit.AuditTests","getRevisionBySpecializationId","[Audit] 2572 - Ответ от GET /api/v1/history/specializations{specializationId} соответствует json-схеме",""
"passed","Thu Feb 20 13:43:13 GMT 2025","Thu Feb 20 13:43:13 GMT 2025","81","","Skill","","api.skill.SkillTests","getSkillWithSkillIdNotFound","[API][Skills] 3398 - 404 СК при отправке запроса GET/api/v1/skills/{skillId} с несуществующим skillId",""
"passed","Thu Feb 20 13:43:26 GMT 2025","Thu Feb 20 13:43:27 GMT 2025","101","","Position","","api.specialization.PositionTests","updatingAPositionWithANonExistentId","[Positions] 2890 - 404 СК при попытке изменить позицию с несуществующим id PUT api/v1/positions/{positionId}",""
"passed","Thu Feb 20 13:43:29 GMT 2025","Thu Feb 20 13:43:29 GMT 2025","77","","Specializations","","api.specialization.SpecializationTests","createNewSpecializationWithoutPermission","[Specializations] 3510 - 403 СК при запросе POST /api/v1/specializations",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:55 GMT 2025","58","","Management Position","","api.managementPosition.ManagementPositionTests","getManagementPositionsUnauthorized","[API] [ManagementPosition] 3394 - 401 СК при отправке запроса GET/api/v1/management без авторизации",""
"passed","Thu Feb 20 13:43:06 GMT 2025","Thu Feb 20 13:43:06 GMT 2025","67","","Skill Acquirement","","api.skill.SkillAcquirementTests","changingSkillGradeByTeamLeadWithInvalidSkillId","[Skill acquirements] 2776 - 400 СК при отправке запроса с невалидным skillId PUT /api/v1/skills/grade/suggest/teamleader",""
"skipped","Thu Feb 20 13:43:12 GMT 2025","Thu Feb 20 13:43:12 GMT 2025","0","","Skill","","api.skill.SkillTests","restoreNotDeletedSkill","[Skills] 2603 - 500 ответ при попытке восстановить навык, который не удален PUT /api/v1/skills/{skillId}/restore",""
"skipped","Thu Feb 20 13:43:18 GMT 2025","Thu Feb 20 13:43:18 GMT 2025","0","","Skill","","api.skill.SkillTests","getExpertsOfNonExistSkillInSkillApproveRequirement","[Skills] 2836 - 200СК при указании skillId, отсутствующего в skill_approve_requirement GET api/v1/skills/approve/status",""
"passed","Thu Feb 20 13:42:58 GMT 2025","Thu Feb 20 13:42:58 GMT 2025","69","","Role","","api.role.RoleTests","updateTheRoleWithInvalidBody","[Role] 3424 - 400СК, при невалидном теле запроса PUT /api/v1/roles",""
"failed","Thu Feb 20 13:44:39 GMT 2025","Thu Feb 20 13:44:39 GMT 2025","88","","Supervisor","","api.supervisor.SupervisorTests","deleteSpecializationsWithInvalidUserId","[Supervisor] 3352 - 400СК, при отправке невалидного userId DELETE /api/v1/supervisors/{userId}",""
"passed","Thu Feb 20 13:42:59 GMT 2025","Thu Feb 20 13:42:59 GMT 2025","121","","Role","","api.role.RoleTests","getRoleWithPermissionsIfNotFoundRoleId","[API] [Role] 3571 - 404СК, при отправке несуществующего roleId DELETE /api/v1/roles/{roleId}",""
"failed","Thu Feb 20 13:44:18 GMT 2025","Thu Feb 20 13:44:19 GMT 2025","238","","Experts","","api.experts.ExpertsTests","whenSendingTheIDOfASkillThatIsNotIncludedInTheExpertsSkillSet","[API][Experts] 3271 - 400СК при отправке айди навыка, не входящего в скиллсет эксперта POST /api/v1/expert/skill",""
"passed","Thu Feb 20 13:43:12 GMT 2025","Thu Feb 20 13:43:12 GMT 2025","86","","Skill","","api.skill.SkillTests","impossibleToCreateSkillWithInvalidValues","[Skills] 2759 - 400 СК при невалидном теле запроса (ParentId - невалидное значение) POST /api/v1/skills",""
"passed","Thu Feb 20 13:42:45 GMT 2025","Thu Feb 20 13:42:45 GMT 2025","87","","Experts","","api.experts.ExpertsTests","deleteExpertFromSkillsWithoutPermission","[Experts] 3475 - 403 CК при отсутствии доступа DELETE /api/v1/expert/skills",""
"passed","Thu Feb 20 13:43:07 GMT 2025","Thu Feb 20 13:43:07 GMT 2025","146","","Skill Content","","api.skill.SkillContentTests","requestByCreateNewAdditionalContent","[API] [SkillContent] 2439 - Создание нового additional контента POST /api/v1/content/additional",""
"passed","Thu Feb 20 13:42:49 GMT 2025","Thu Feb 20 13:42:49 GMT 2025","114","","Experts","","api.experts.ExpertsTests","getExpertApplicationsNoValid","[Experts] 3311 - 400 СК при невалидном userId GET /api/v1/expert/applications",""
"failed","Thu Feb 20 13:44:20 GMT 2025","Thu Feb 20 13:44:20 GMT 2025","232","","Experts","","api.experts.ExpertsTests","addExpertToSkillWithoutSkillInSkillSet","[Experts] 3470 - 400 СК если скилла нет в скиллсете у эксперта POST /api/v1/expert/skill",""
"broken","Thu Feb 20 13:44:31 GMT 2025","Thu Feb 20 13:44:31 GMT 2025","36","","Skill","","api.skill.SkillTests","saveSkillOrder","[Skills] 2588 - Сохранение порядка навыков POST /api/v1/skills/order",""
"passed","Thu Feb 20 13:42:47 GMT 2025","Thu Feb 20 13:42:47 GMT 2025","195","","Experts","","api.experts.ExpertsTests","getExpertsByOptionalParams","[Experts] 2534 - Получение списка экспертов по параметрам GET /api/v1/experts",""
"passed","Thu Feb 20 13:42:51 GMT 2025","Thu Feb 20 13:42:51 GMT 2025","100","","Experts","","api.experts.ExpertsTests","getExpertWithNonExistentSpecializationId","[Experts] 3438 - 404 СК при несуществующей {specializationId} GET /api/v1/experts",""
"passed","Thu Feb 20 13:42:43 GMT 2025","Thu Feb 20 13:42:43 GMT 2025","143","","Experts","","api.experts.ExpertsTests","getExpertsBySupervisorId","[Experts] 2487 - Ответ от GET api/v1/experts/{supervisorId} соответствует json-схеме.",""
"passed","Thu Feb 20 13:43:12 GMT 2025","Thu Feb 20 13:43:13 GMT 2025","74","","Skill","","api.skill.SkillTests","postSkillTreeWithoutAuthorization","[Skill] 3548 - 401СК, при отсутствии авторизации POST api/v1/skills/tree",""
"passed","Thu Feb 20 13:43:31 GMT 2025","Thu Feb 20 13:43:31 GMT 2025","60","","Specializations","","api.specialization.SpecializationTests","verify401ForSpecializationsWithoutToken","[Specialization] 1000 - СК 401 при запросе без токена для /api/v1/specializations",""
"failed","Thu Feb 20 13:44:35 GMT 2025","Thu Feb 20 13:44:36 GMT 2025","99","","Skill","","api.skill.SkillTests","createSkillWithoutPermissions","[Skills] 2761 - 403 СК при отправке запроса с аккаунта, у которого нет полномочий на создание скилла POST /api/v1/skills",""
"passed","Thu Feb 20 13:43:29 GMT 2025","Thu Feb 20 13:43:29 GMT 2025","70","","Specializations","","api.specialization.SpecializationTests","createNewSpecializationWithoutAuthorization","[Specializations] 3511 - 401 СК при запросе POST /api/v1/specializations",""
"passed","Thu Feb 20 13:43:17 GMT 2025","Thu Feb 20 13:43:17 GMT 2025","87","","Skill","","api.skill.SkillTests","saveSkillOrderWithNonExistSkill","[API][Skils][Skills order] 2951 - 400СК при отправке не существующего skillId POST api/v1/skills/order",""
"passed","Thu Feb 20 13:42:59 GMT 2025","Thu Feb 20 13:43:00 GMT 2025","68","","Role","","api.role.RoleTests","deleteRoleWithoutPermissions","[Role] 3468 - 403СК, при отсутствии доступа DELETE /api/v1/roles/{roleId}",""
"passed","Thu Feb 20 13:43:39 GMT 2025","Thu Feb 20 13:43:39 GMT 2025","71","","Supervisor","","api.supervisor.SupervisorTests","getSpecializationsWithoutPermission","[Supervisor] 3330 - 403СК, при отсутствии доступа GET /api/v1/supervisors/{userId}/specializations",""
"broken","Thu Feb 20 13:44:26 GMT 2025","Thu Feb 20 13:44:27 GMT 2025","539","","Skill Acquirement","","api.skill.SkillAcquirementTests","changingSkillGradeByTeamLead","[Skill acquirements] 2769 - Повышение тимлмдом грейда навыка подчиненного PUT /api/v1/skills/grade/suggest/teamleader",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:56 GMT 2025","62","","Management Position","","api.managementPosition.ManagementPositionTests","createManagementPositionsIfUserUnauthorized","[API] [ManagementPosition] 401 ошибка при отправке запроса POST /api/v1/management",""
"passed","Thu Feb 20 13:43:40 GMT 2025","Thu Feb 20 13:43:40 GMT 2025","75","","User","","api.user.UserTests","getUsersByUsersEmployeeUserId","[API] [User] 200 при отправке запроса GET /api/v1/users/employee/{userId} userId = 2eaeebfe-9c93-4c47-8d8e-ebf41b387423, expectedResult = true",""
"skipped","Thu Feb 20 13:43:39 GMT 2025","Thu Feb 20 13:43:39 GMT 2025","0","","Supervisor","","api.supervisor.SupervisorTests","deleteSpecializationsWithUnknownUserId","[Supervisor] 3350 - 404СК, при передаче несуществующего userId DELETE /api/v1/supervisors/{userId}",""
"broken","Thu Feb 20 13:44:30 GMT 2025","Thu Feb 20 13:44:30 GMT 2025","53","","Skill","","api.skill.SkillTests","getSpecializationOfDeletedSpecialization","[Skills] 2709 - Получение специализаций удаленного скилла GET/api/v1/skills/{skillId}/deleted/specializations",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:55 GMT 2025","55","","Management Position","","api.managementPosition.ManagementPositionTests","getManagementPositionsWithoutAccessRights","[API] [ManagementPosition] 3395 - 403 СК при отправке запроса GET/api/v1/management без прав доступа",""
"passed","Thu Feb 20 13:42:16 GMT 2025","Thu Feb 20 13:42:16 GMT 2025","118","","Audit","","api.audit.AuditTests","getAllSpecializationsHistoryWithoutPermission","[Audit] 3490 - 403 СК при запросе GET /api/v1/history/specializations/{specializationId}",""
"passed","Thu Feb 20 13:43:42 GMT 2025","Thu Feb 20 13:43:42 GMT 2025","60","","User","","api.user.UserTests","getUsersSearchIfUserUnauthorized","[API] [User] 401 ошибка при отправке запроса GET /api/v1/users/search",""
"failed","Thu Feb 20 13:44:37 GMT 2025","Thu Feb 20 13:44:37 GMT 2025","176","","Specializations Position","","api.specialization.SpecializationPositionTests","specializationIdDoesNotExistTest","[API] [Specializations & Positions] 3084 - 404 СК при указывании несуществующей позицииDELETE /api/v1/positions/{positionId}/specialization/{specializationId}",""
"passed","Thu Feb 20 13:43:24 GMT 2025","Thu Feb 20 13:43:24 GMT 2025","120","","Position","","api.specialization.PositionTests","updatingAPositionWithRightsBelowSupport","[Positions] 2841 - 403 СК при отсутствии полномочий на изменение позиции PUT api/v1/positions/{positionId}",""
"passed","Thu Feb 20 13:43:13 GMT 2025","Thu Feb 20 13:43:13 GMT 2025","88","","Skill","","api.skill.SkillTests","deleteContentRatingNoValidContentId","[API] [Skill] 3274 - 400 СК при невалидных значениях {contentId} DELETE /api/v1/skills/reaction",""
"failed","Thu Feb 20 13:44:13 GMT 2025","Thu Feb 20 13:44:15 GMT 2025","2339","","Audit","","api.audit.AuditTests","getAllRevisionsBySkills","[Audit] 2431 - Ответ от GET /api/v1/history/skills соответствует json-схеме",""
"passed","Thu Feb 20 13:43:07 GMT 2025","Thu Feb 20 13:43:07 GMT 2025","96","","Skill Content","","api.skill.SkillContentTests","updateContentByIdWithoutPermission","[SkillContent] 3562 - Обновление additional/main контента по ID PUT /api/v1/content/{contentId} без прав доступа",""
"passed","Thu Feb 20 13:42:48 GMT 2025","Thu Feb 20 13:42:48 GMT 2025","87","","Experts","","api.experts.ExpertsTests","addExpertToSkillWithoutAuthorization","[Experts] 3471 - 401 СК при отсутствии авторизации POST /api/v1/expert/skill",""
"passed","Thu Feb 20 13:43:28 GMT 2025","Thu Feb 20 13:43:28 GMT 2025","119","","Specializations Position","","api.specialization.SpecializationPositionTests","deleteSpecializationPositionByPositionId","[SpecializationPosition] 2517 - Удаление позиции специализации по ID DELETE /api/v1/positions/{positionId}",""
"passed","Thu Feb 20 13:43:47 GMT 2025","Thu Feb 20 13:43:47 GMT 2025","87","","User","","api.user.UserTests","getUserForEditNoValidBodyRequest","[API] [User] 400 ошибка при отправке запроса POST /api/v1/users",""
"failed","Thu Feb 20 13:44:36 GMT 2025","Thu Feb 20 13:44:36 GMT 2025","152","","Position","","api.specialization.PositionTests","specializationIdIsNoValidWhenGetRequest","[API][Position] 3177 - 400 СК при невалидной specializationId GET/api/v1/positions",""
"passed","Thu Feb 20 13:43:41 GMT 2025","Thu Feb 20 13:43:41 GMT 2025","60","","User","","api.user.UserTests","getUsersBySpecializationIdUnauthorized","[API] [User] 3370 - 401 СК при отправке запроса без авторизации GET /api/v1/users",""
"failed","Thu Feb 20 13:44:29 GMT 2025","Thu Feb 20 13:44:29 GMT 2025","114","","Skill Description","","api.skill.SkillDescriptionTests","verifyJsonSchemaForGradeDescription","[SkillDescription] 2451 - Ответ от GET /api/v1/skills/{skillId}/skill-grade-descriptions?specializationId={specializationId} соответствует json-схеме",""
"passed","Thu Feb 20 13:42:54 GMT 2025","Thu Feb 20 13:42:54 GMT 2025","96","","Grades","","api.grades.GradesTests","verifyJsonSchemaForGrades","[Grades] 994 - Ответ от /api/v1/grades соответствует json-схеме",""
"passed","Thu Feb 20 13:42:55 GMT 2025","Thu Feb 20 13:42:55 GMT 2025","75","","Management Position","","api.managementPosition.ManagementPositionTests","deleteManagementPositionsById","[ManagementPosition] 2437 - Удаление руководящей должности DELETE /api/v1/management/{id}",""
"passed","Thu Feb 20 13:42:12 GMT 2025","Thu Feb 20 13:42:13 GMT 2025","1101","","Audit","","api.audit.AuditTests","getRevisionByNonExistSkillId","[Audit] 2574 - Ответ от GET /api/v1/history/skills{skillId} с несуществующим skillId возвращает 404 СК",""
"failed","Thu Feb 20 13:44:38 GMT 2025","Thu Feb 20 13:44:39 GMT 2025","309","","Specializations","","api.specialization.SpecializationTests","createNewSpecializationOnConflict","[API][Specialization] 3576 - 409 СК при запросе PATCH /api/v1/specializations",""
"passed","Thu Feb 20 13:43:27 GMT 2025","Thu Feb 20 13:43:27 GMT 2025","120","","Specializations Position","","api.specialization.SpecializationPositionTests","specializationPositionSchema","[SpecializationPosition] 3146 - Ответ от GET /api/v1/positions/{positionId}/specialization/{specializationId} соответствует json-схеме",""
"passed","Thu Feb 20 13:42:40 GMT 2025","Thu Feb 20 13:42:41 GMT 2025","74","","Experts","","api.experts.ExpertsTests","getExpertSkillsWithoutAuthorization","[Experts] 3483 - 401 СК при отсутствии авторизации GET /api/v1/expert/{userId}/skills",""
"failed","Thu Feb 20 13:44:34 GMT 2025","Thu Feb 20 13:44:34 GMT 2025","95","","Skill","","api.skill.SkillTests","changeSkillWithInvalidBody","[Skill] 3502 - 400СК при отправке невалидного тела запроса PUT api/v1/skills/{skillId}",""
"failed","Thu Feb 20 13:44:31 GMT 2025","Thu Feb 20 13:44:31 GMT 2025","104","","Skill","","api.skill.SkillTests","createSkillWithTerminalSkillInsteadOfParentSkill","[Skill] 2757 - 400 СК при создании нового навыка, если в качестве родительского указан терминальный скилл POST /api/v1/skills",""
"passed","Thu Feb 20 13:43:36 GMT 2025","Thu Feb 20 13:43:37 GMT 2025","96","","Specializations","","api.specialization.SpecializationTests","createNewSpecializationWithNonExistentPositionId","[Specializations] 3512 - 400 СК при запросе POST /api/v1/specializations",""
"broken","Thu Feb 20 13:44:16 GMT 2025","Thu Feb 20 13:44:16 GMT 2025","151","","Expert Permission","","api.experts.ExpertPermissionTests","addExpertPermissionForUserForbiddenAssign","[API] [ExpertPermission] 3346 - 403 СК при отсутствии доступа PATCH /api/v1/experts/assign",""
